Time [s],C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
435,27718,24915,13482,13065,5881,5171,3310,2257,2092,1296,427,175
440,27353,24875,13579,12734,5898,5210,3299,2299,2058,1221,393,164
445,27288,24591,13488,12815,5942,5310,3388,2280,2088,1308,401,150
450,27322,24821,13581,12896,5943,5119,3369,2246,2078,1307,428,166
455,27060,24702,13637,12902,5887,5178,3332,2284,2085,1284,390,149
460,26944,24642,13530,12779,5865,5186,3210,2261,2082,1284,390,153
465,27037,24590,13319,12859,5816,5150,3252,2218,2031,1281,417,157
470,27205,24562,13542,12703,5834,5150,3207,2219,2063,1226,418,161
475,26990,24320,13252,12811,5873,5073,3329,2265,2062,1250,418,159
480,27599,24461,13333,12573,5945,5141,3309,2232,2005,1239,417,173
485,26796,24505,13365,12843,5828,5175,3209,2266,2054,1270,401,156
490,27225,24223,13195,12848,5797,5123,3310,2224,2062,1297,400,163
495,27156,24277,13284,12676,5825,5216,3245,2235,2047,1213,386,154
500,27221,24128,13342,12691,5784,5172,3211,2255,2004,1226,394,156
505,27109,24380,13220,12606,5867,5096,3230,2288,2068,1228,378,162
510,27185,24274,13225,12569,5791,5086,3239,2226,1997,1249,428,152
515,27188,24161,13146,12666,5823,5079,3245,2198,2027,1226,395,169
520,26949,24150,13211,12649,5859,5128,3328,2175,2058,1203,363,161
525,26741,24237,13230,12615,5847,5116,3286,2187,2046,1218,399,157
530,26859,24067,13206,12437,5774,5036,3242,2239,1986,1233,380,169
535,26865,24331,13226,12604,5749,5112,3246,2240,2027,1234,402,157
540,27174,24209,13167,12620,5706,4928,3248,2179,2036,1193,410,158
545,26964,24228,13126,12465,5709,5072,3193,2174,1951,1214,400,148
550,26766,24020,13189,12715,5603,4968,3245,2252,1979,1213,393,164
555,26868,23939,13111,12572,5777,4973,3187,2154,2018,1196,393,177
560,27172,24091,13174,12428,5716,5076,3190,2229,1984,1166,410,150
565,26878,23850,13098,12614,5719,4983,3277,2197,1968,1188,390,177
570,26812,24158,13263,12583,5718,4954,3223,2154,1952,1172,385,148
575,26908,24033,13285,12424,5672,5021,3228,2156,1966,1165,408,165
580,26751,23917,13192,12414,5746,5103,3202,2169,1950,1135,393,167
585,26824,24032,13142,12283,5584,4870,3184,2172,1952,1193,400,159
590,27051,24094,13119,12468,5679,4884,3204,2157,1961,1234,389,168
595,26822,23919,13187,12267,5751,5074,3165,2202,1923,1192,400,157
