Time [s],C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
1900,23409,20880,10868,10209,4540,3939,2512,1750,1522,955,331,147
1905,23265,20800,11070,10094,4503,3851,2521,1744,1573,1014,307,141
1910,23150,20735,10935,10030,4569,3858,2445,1725,1526,949,345,137
1915,23387,20510,10977,10016,4535,3869,2453,1681,1518,995,330,144
1920,23226,20670,10779,10140,4541,3997,2507,1772,1527,980,321,145
1925,23350,20750,10615,10135,4483,3892,2495,1700,1539,970,345,148
1930,23205,20502,10731,10239,4617,3923,2488,1710,1543,972,327,149
1935,23371,20974,10731,10142,4442,3955,2440,1739,1507,970,332,135
1940,23080,20725,10713,10093,4493,3873,2438,1734,1469,976,346,144
1945,23203,20656,10907,10003,4489,3926,2502,1658,1554,1010,350,141
1950,23015,20723,10792,10102,4502,3952,2492,1743,1514,982,342,169
1955,23400,20508,10954,10078,4509,3868,2513,1691,1527,993,314,149
1960,23133,20723,10803,10127,4508,3860,2557,1731,1513,964,330,151
1965,23011,20515,10767,10076,4511,3956,2443,1790,1544,987,349,151
1970,23215,20331,10735,10319,4472,3811,2447,1739,1533,991,326,139
1975,23192,20291,10766,10142,4500,3923,2472,1722,1529,934,340,153
1980,23214,20666,10803,10179,4439,3929,2492,1675,1547,976,357,155
1985,23151,20700,10680,10119,4457,3936,2543,1720,1567,989,350,144
1990,22841,20450,10932,9969,4536,3914,2449,1731,1591,988,310,150
1995,23339,20490,10756,10067,4535,3833,2415,1682,1544,984,339,148
2000,22903,20387,10729,10077,4449,3901,2465,1748,1546,1021,332,146
2005,22998,20651,10678,10100,4457,3926,2462,1738,1497,1010,316,134
2010,23094,20565,10684,10080,4463,3829,2456,1711,1556,964,310,150
2015,23015,20428,10880,10022,4413,3838,2436,1768,1605,997,325,128
2020,23215,20508,10889,10027,4493,3923,2425,1679,1492,1007,317,142
2025,23264,20391,10891,9932,4503,3855,2440,1776,1568,961,325,141
2030,22960,20560,10718,9867,4544,3876,2468,1690,1559,996,331,155
2035,22887,20281,10950,10025,4491,3834,2502,1741,1559,966,351,123
2040,22871,20536,10735,10152,4468,3850,2430,1725,1558,946,351,162
2045,23069,20617,10812,10017,4602,3929,2497,1698,1550,947,342,151
2050,22943,20370,10730,10032,4479,3909,2511,1752,1529,983,347,139
2055,22948,20255,10615,10072,4553,3849,2534,1734,1545,1018,336,135
2060,22891,20238,10645,10075,4489,3858,2468,1703,1558,967,325,166
2065,22771,20415,10634,10111,4598,3896,2433,1692,1489,985,353,125
2070,22954,20238,10690,10050,4480,3878,2445,1733,1471,971,360,144
2075,22874,20499,10698,9991,4500,3796,2456,1708,1575,990,326,138
2080,23071,20489,10724,9987,4560,3806,2374,1661,1543,977,345,151
2085,22678,20266,10784,9933,4484,3851,2472,1697,1545,954,312,144
2090,22848,20368,10700,9882,4506,3883,2491,1735,1540,1002,347,137
2095,22674,20340,10733,10090,4524,3799,2468,1713,1531,1001,322,145
2100,23014,20336,10686,10047,4448,3808,2445,1713,1488,966,340,156
2105,22795,20502,10566,10021,4544,3906,2480,1690,1551,906,326,143
2110,22761,20296,10661,10027,4538,3887,2463,1783,1525,966,321,154
2115,22816,20467,10562,9935,4445,3824,2436,1743,1547,965,331,129
2120,22772,20351,10609,9960,4404,3872,2473,1717,1514,955,324,147
2125,22732,20259,10780,9898,4527,3758,2401,1680,1544,972,324,147
2130,22870,20498,10635,9866,4321,3800,2423,1708,1555,1015,330,130
2135,22777,20245,10676,9885,4419,3904,2407,1747,1479,971,336,137
2140,22797,20239,10705,10136,4472,3847,2376,1700,1591,908,331,142
2145,22949,20203,10654,9812,4473,3825,2437,1735,1568,970,329,141
2150,22959,20220,10466,9941,4389,3817,2469,1747,1495,926,327,139
2155,22884,20311,10509,9934,4380,3875,2391,1707,1527,969,335,151
2160,22829,20192,10604,9877,4449,3773,2465,1758,1543,980,323,125
2165,22675,20083,10353,10022,4349,3831,2462,1682,1440,978,319,137
2170,22962,20042,10570,9909,4440,3879,2448,1728,1487,963,354,128
2175,22817,20160,10722,9810,4415,3718,2485,1621,1529,962,326,155
2180,22785,20169,10611,9990,4517,3835,2484,1689,1500,988,350,141
2185,22701,20218,10505,9858,4366,3824,2447,1696,1538,915,335,158
2190,22738,20036,10728,9965,4396,3820,2490,1698,1548,947,323,134
2195,22737,20154,10599,9818,4417,3844,2451,1699,1488,990,326,147
2200,22753,20370,10598,9803,4324,3849,2440,1714,1580,940,317,157
2205,22696,20370,10498,9969,4416,3854,2438,1707,1489,962,327,149
2210,22768,20033,10599,9799,4390,3822,2416,1734,1464,960,335,157
2215,22602,20297,10595,9871,4413,3856,2453,1710,1513,996,346,149
2220,22656,20310,10599,9861,4437,3779,2434,1699,1524,932,323,132
2225,22551,20092,10658,9755,4379,3753,2396,1690,1499,948,334,149
2230,22606,20178,10661,9813,4435,3761,2435,1711,1482,980,337,169
2235,22895,20281,10586,9836,4404,3828,2423,1671,1472,931,351,141
2240,22640,20152,10751,9768,4425,3822,2419,1692,1530,970,346,145
2245,22847,20174,10571,9867,4401,3839,2398,1725,1492,931,332,146
2250,22595,20184,10533,9849,4507,3868,2496,1706,1484,956,313,126
2255,22632,20248,10634,9867,4368,3767,2346,1674,1546,938,324,155
2260,22439,19864,10536,9811,4388,3725,2421,1738,1522,990,336,135
2265,22620,20268,10586,9851,4453,3907,2419,1763,1467,978,296,143
2270,22524,19967,10546,9861,4456,3743,2469,1663,1482,935,321,145
2275,22577,20127,10496,9893,4436,3806,2407,1659,1534,936,344,153
2280,22440,20142,10478,9930,4458,3859,2364,1682,1489,951,334,162
2285,22779,20423,10555,9755,4366,3776,2422,1642,1530,979,333,147
2290,22707,20135,10559,9748,4390,3795,2400,1725,1490,992,317,153
2295,22817,19957,10417,9801,4370,3846,2508,1661,1508,1017,319,155
2300,22881,19924,10327,9820,4468,3798,2474,1736,1456,962,346,126
2305,22471,19977,10430,9818,4414,3801,2445,1677,1486,989,365,136
2310,22700,20098,10417,9812,4376,3771,2431,1683,1497,989,321,140
2315,22532,20318,10512,9878,4310,3782,2476,1689,1528,979,341,155
2320,22356,19872,10447,9885,4349,3773,2356,1662,1475,960,347,148
2325,22297,20094,10392,9786,4456,3807,2411,1666,1454,992,336,145
2330,22637,19998,10389,9890,4492,3772,2422,1730,1474,942,346,149
2335,22454,19907,10402,9702,4383,3696,2392,1717,1469,942,343,136
2340,22315,20064,10361,9850,4415,3786,2440,1722,1505,979,341,156
2345,22637,19946,10393,9936,4430,3717,2399,1687,1545,929,342,136
2350,22476,20139,10471,9790,4420,3758,2435,1728,1501,961,343,142
2355,22574,19742,10362,9741,4394,3768,2414,1700,1498,921,335,148
2360,22529,19991,10373,9660,4388,3789,2427,1652,1510,1002,340,146
2365,22322,19853,10349,9684,4370,3726,2451,1690,1482,944,343,149
2370,22541,19887,10518,9759,4430,3749,2426,1704,1528,987,341,146
2375,22272,19908,10319,9834,4398,3823,2404,1747,1478,952,339,140
2380,22351,20111,10165,9869,4448,3719,2409,1716,1477,975,332,157
2385,22533,19780,10540,9869,4370,3743,2381,1692,1487,973,331,138
2390,22583,19927,10411,9561,4369,3786,2322,1652,1478,946,344,142
2395,22206,19777,10248,9669,4398,3765,2416,1745,1509,939,311,129
2400,22265,19968,10366,9617,4354,3861,2366,1696,1476,969,341,163
2405,22326,20009,10378,9907,4375,3810,2408,1625,1520,897,307,148
2410,22250,19832,10579,9689,4382,3842,2477,1656,1504,943,327,132
2415,22546,20005,10523,9741,4329,3808,2386,1693,1495,971,316,148
2420,22365,19993,10357,9608,4264,3711,2436,1676,1520,991,307,136
2425,22375,19691,10284,9518,4376,3688,2405,1702,1476,975,325,143
2430,22425,19813,10375,9707,4340,3739,2388,1631,1502,941,329,140
2435,22262,19819,10269,9570,4348,3807,2433,1646,1548,935,332,130
2440,22246,19917,10307,9620,4405,3701,2407,1616,1440,921,322,134
2445,22110,20085,10427,9758,4290,3759,2404,1720,1483,964,328,141
2450,22331,19688,10476,9785,4276,3821,2389,1753,1485,961,307,143
2455,22312,19850,10465,9703,4419,3634,2347,1636,1521,968,329,134
2460,22257,19800,10397,9809,4332,3747,2389,1718,1455,978,315,143
2465,22330,19799,10258,9703,4377,3819,2374,1634,1507,945,330,140
2470,22171,19802,10340,9667,4329,3789,2415,1654,1431,948,333,130
2475,22229,19913,10352,9866,4346,3640,2429,1649,1510,952,340,144
2480,22363,19570,10487,9594,4384,3775,2354,1694,1485,959,340,130
2485,22233,19712,10402,9754,4294,3758,2352,1701,1459,964,326,157
2490,22096,19572,10402,9565,4321,3701,2380,1668,1483,947,298,156
2495,22285,19701,10322,9510,4358,3767,2434,1630,1482,976,332,136
2500,22322,19990,10187,9665,4351,3830,2394,1697,1497,936,328,152
2505,22221,19811,10449,9641,4396,3861,2429,1652,1515,963,351,144
2510,22184,19494,10272,9620,4357,3808,2380,1652,1482,941,318,138
2515,22371,19631,10474,9551,4375,3759,2355,1660,1478,917,326,156
2520,21985,19672,10167,9600,4352,3747,2371,1657,1415,984,360,142
2525,22453,19621,10285,9738,4317,3802,2378,1690,1448,974,339,153
2530,22213,19583,10481,9527,4257,3770,2350,1620,1470,933,325,142
2535,22186,19632,10352,9682,4326,3833,2324,1695,1464,974,333,142
2540,22005,19699,10355,9575,4299,3707,2419,1722,1422,970,318,140
2545,22056,19728,10317,9728,4262,3790,2413,1679,1468,942,326,158
2550,22080,19632,10421,9656,4403,3769,2393,1755,1511,936,329,147
2555,22052,19711,10205,9596,4223,3737,2377,1665,1493,963,315,139
2560,22105,19664,10366,9694,4354,3795,2386,1670,1447,951,328,131
2565,21995,19899,10259,9459,4352,3724,2420,1713,1433,999,338,127
2570,22063,19655,10300,9603,4363,3715,2445,1654,1492,942,317,132
2575,22179,19744,10344,9587,4288,3719,2379,1699,1506,946,331,140
2580,21850,19688,10344,9539,4344,3686,2300,1705,1475,936,338,147
2585,22171,19676,10244,9545,4389,3758,2440,1688,1531,960,328,137
2590,21964,19552,10271,9604,4240,3691,2388,1678,1456,975,345,149
2595,22079,19601,10333,9558,4332,3783,2387,1673,1505,945,308,147
2600,22093,19611,10311,9587,4276,3710,2411,1656,1434,973,322,128
2605,22100,19650,10323,9645,4327,3703,2364,1685,1487,912,320,156
2610,22157,19560,10144,9508,4440,3713,2362,1651,1370,915,328,130
2615,22194,19941,10138,9414,4270,3699,2352,1631,1502,959,319,133
2620,21995,19589,10271,9662,4286,3690,2331,1666,1486,971,326,144
2625,22102,19431,10321,9478,4251,3761,2348,1708,1493,958,333,134
2630,22052,19878,10276,9512,4270,3751,2370,1644,1478,957,328,142
2635,21921,19485,10265,9615,4285,3683,2402,1613,1487,938,329,145
2640,21971,19541,10234,9630,4302,3690,2379,1662,1483,924,348,124
2645,22032,19304,10238,9644,4304,3727,2339,1644,1444,938,305,144
2650,21907,19644,10259,9595,4248,3715,2349,1718,1466,945,321,146
2655,22057,19554,10147,9580,4192,3652,2365,1676,1449,997,333,134
2660,21967,19481,10195,9526,4308,3654,2317,1674,1430,962,333,142
2665,22096,19633,10320,9588,4211,3626,2329,1663,1483,935,333,146
2670,21974,19697,10184,9436,4318,3686,2328,1631,1445,920,332,154
2675,22169,19562,10151,9594,4247,3754,2374,1705,1453,959,341,135
2680,21878,19639,10075,9726,4250,3743,2365,1655,1449,973,319,147
2685,21974,19482,10165,9558,4415,3667,2385,1613,1475,934,303,157
2690,22086,19470,10204,9434,4182,3663,2284,1705,1466,948,320,127
2695,21966,19514,10150,9435,4297,3634,2335,1685,1444,929,324,142
2700,22137,19358,10103,9642,4311,3744,2392,1647,1482,944,316,143
2705,21863,19406,10333,9406,4335,3714,2286,1673,1471,918,342,155
2710,21962,19377,10105,9439,4294,3689,2402,1659,1463,949,337,137
2715,21848,19454,10298,9432,4340,3704,2319,1640,1449,959,333,137
2720,21918,19385,10093,9365,4275,3587,2350,1709,1476,928,313,148
2725,21980,19611,10224,9481,4308,3646,2334,1688,1440,943,333,138
2730,21939,19650,10056,9578,4259,3703,2346,1617,1459,936,318,151
2735,21822,19479,10132,9516,4248,3590,2366,1683,1466,890,325,142
2740,21770,19586,10201,9588,4256,3776,2354,1652,1460,1008,320,149
2745,21609,19229,10153,9528,4322,3706,2357,1699,1480,933,334,155
2750,21587,19218,9952,9630,4279,3738,2297,1674,1496,936,321,139
2755,21910,19526,10122,9381,4222,3720,2311,1624,1447,933,348,139
2760,21728,19310,10104,9453,4305,3764,2403,1678,1477,948,325,144
2765,21973,19448,10138,9410,4366,3669,2385,1689,1443,977,330,144
2770,21912,19520,9974,9371,4269,3620,2303,1650,1429,903,322,152
2775,21812,19528,10218,9579,4192,3687,2363,1645,1423,916,333,149
2780,22287,19254,10068,9489,4333,3706,2332,1675,1453,968,316,151
2785,21769,19541,10256,9404,4261,3641,2325,1628,1493,939,336,125
2790,21792,19506,10170,9525,4297,3685,2340,1616,1478,938,313,147
2795,21884,19436,10067,9500,4150,3770,2423,1676,1444,973,329,135
2800,21901,19479,10112,9379,4208,3705,2385,1640,1437,951,306,154
2805,21751,19294,10204,9458,4261,3614,2297,1665,1500,940,313,151
2810,21678,19349,10116,9483,4285,3679,2321,1614,1469,970,317,128
2815,21698,19273,10111,9422,4298,3651,2327,1683,1467,946,345,132
2820,21901,19483,10155,9391,4220,3609,2310,1621,1412,928,345,143
2825,21751,19140,9986,9312,4348,3679,2318,1677,1486,937,319,156
2830,21750,19455,10171,9402,4139,3705,2346,1618,1434,959,316,137
2835,21771,19392,10124,9385,4241,3635,2350,1660,1472,959,337,134
2840,21671,19083,10209,9307,4209,3601,2332,1687,1453,978,332,133
2845,21751,19463,10138,9492,4244,3579,2290,1651,1423,908,331,122
2850,21622,19351,10186,9398,4304,3650,2353,1649,1488,971,304,141
2855,21743,19386,10123,9507,4345,3648,2333,1675,1455,937,339,140
2860,21574,19207,10107,9512,4249,3662,2347,1674,1464,940,343,151
2865,21594,19433,10001,9335,4273,3765,2314,1634,1508,963,319,120
2870,21746,19225,10031,9509,4311,3621,2339,1658,1468,934,298,149
2875,21719,19436,9939,9420,4234,3657,2326,1635,1446,970,332,151
2880,21666,19380,10098,9437,4206,3718,2347,1672,1459,962,343,146
2885,21752,19359,9951,9429,4215,3668,2332,1599,1453,968,356,144
2890,21622,19271,10185,9328,4229,3700,2363,1664,1444,966,330,128
2895,21836,18847,9953,9380,4289,3683,2331,1646,1516,916,341,136
2900,21552,19330,10065,9398,4317,3667,2370,1691,1484,925,341,136
2905,21658,19400,9966,9587,4310,3699,2300,1612,1453,946,310,147
2910,21748,19193,10080,9345,4209,3666,2314,1656,1458,940,344,139
2915,21433,19236,10070,9441,4203,3642,2298,1665,1490,890,332,160
2920,21697,19095,10107,9555,4181,3635,2349,1644,1466,955,322,133
2925,21692,19274,10150,9364,4190,3683,2347,1684,1513,961,345,142
2930,21674,19147,9907,9343,4259,3709,2363,1668,1452,926,338,136
2935,21703,19301,10021,9303,4210,3665,2345,1656,1460,927,318,140
2940,21489,19122,10068,9445,4286,3655,2430,1629,1458,906,311,150
2945,21500,19270,10050,9409,4191,3641,2281,1663,1439,964,341,145
2950,21388,19110,9963,9322,4235,3556,2327,1655,1462,910,307,140
2955,21553,19081,10028,9368,4202,3583,2287,1656,1480,947,316,153
2960,21351,19122,10101,9306,4286,3639,2290,1647,1433,962,318,144
2965,21715,19097,9949,9426,4194,3695,2353,1637,1447,962,341,136
2970,21533,19322,10012,9460,4290,3656,2337,1682,1408,971,297,140
2975,21417,19041,9912,9265,4263,3717,2354,1671,1448,954,331,130
2980,21573,19326,10059,9474,4216,3689,2344,1671,1429,958,327,134
2985,21448,19148,9958,9242,4213,3583,2353,1637,1467,919,303,134
2990,21497,19150,10000,9325,4252,3618,2340,1591,1455,912,319,148
2995,21735,19159,10077,9503,4217,3639,2330,1642,1442,975,344,145
3000,21741,19334,9910,9374,4305,3689,2331,1605,1486,964,312,137
3005,21464,18864,10111,9255,4171,3702,2363,1627,1420,938,307,137
3010,21352,19206,10016,9176,4258,3646,2338,1640,1419,926,325,131
3015,21507,19099,9987,9358,4195,3645,2356,1598,1472,937,318,153
3020,21577,19025,9985,9305,4140,3617,2307,1578,1453,922,337,137
3025,21491,19058,9879,9366,4305,3665,2295,1613,1445,928,330,136
3030,21698,19172,9962,9379,4199,3684,2318,1633,1412,941,333,141
3035,21141,18967,10072,9276,4171,3623,2261,1648,1454,926,304,146
3040,21516,19009,10065,9300,4283,3702,2305,1703,1459,962,334,129
3045,21374,19154,10063,9514,4208,3673,2345,1649,1476,950,325,140
3050,21527,19265,9826,9388,4296,3602,2277,1655,1461,936,314,138
3055,21552,18745,9899,9339,4219,3646,2294,1631,1436,891,324,155
3060,21201,19131,9977,9270,4296,3658,2240,1659,1460,921,335,140
3065,21280,18952,9912,9272,4248,3707,2304,1604,1460,936,317,134
3070,21602,19158,9887,9308,4196,3597,2282,1582,1510,945,294,136
3075,21648,18991,9974,9329,4108,3606,2283,1616,1489,919,331,129
3080,21306,19163,9934,9340,4146,3667,2342,1627,1507,969,338,139
3085,21213,19037,9988,9336,4177,3616,2307,1611,1440,938,341,135
3090,21301,19004,9950,9311,4270,3676,2305,1645,1439,978,317,147
3095,21524,18608,10043,9438,4191,3700,2292,1640,1491,946,330,142
3100,21333,18899,10096,9264,4149,3564,2353,1658,1444,918,284,156
3105,21318,18822,9812,9217,4229,3636,2254,1650,1432,880,324,140
3110,21557,19113,9829,9202,4305,3612,2290,1556,1386,909,295,133
3115,21369,18856,9919,9427,4177,3589,2274,1583,1453,938,332,142
3120,21363,19074,10044,9238,4189,3738,2313,1580,1426,1003,295,136
3125,21369,19070,9936,9140,4156,3681,2310,1709,1448,908,319,139
3130,21367,19039,10073,9327,4157,3616,2356,1626,1452,926,303,168
3135,21269,18934,9872,9280,4227,3619,2259,1599,1446,926,323,134
3140,21347,18812,9850,9275,4294,3636,2310,1602,1417,943,310,143
3145,21143,19105,10028,9299,4206,3654,2250,1656,1409,937,337,151
3150,21269,19094,9975,9243,4204,3542,2388,1632,1456,909,340,137
3155,21668,18933,9917,9318,4120,3596,2305,1667,1450,923,317,134
3160,21411,19015,9831,9311,4194,3613,2347,1655,1420,927,316,122
3165,21338,18864,9790,9190,4206,3588,2278,1662,1493,910,345,147
3170,21047,18952,9977,9200,4199,3619,2309,1623,1423,925,342,140
3175,21015,18837,9752,9296,4301,3669,2289,1589,1417,954,330,140
3180,21304,18766,9977,9122,4295,3591,2324,1633,1410,941,327,141
3185,21289,18892,9875,9258,4233,3654,2286,1586,1461,936,315,151
3190,21514,19103,9885,9217,4221,3722,2298,1607,1474,931,323,139
3195,21328,18856,9795,9206,4232,3592,2294,1631,1460,901,330,141
3200,21318,19010,9747,9366,4187,3566,2304,1584,1455,905,318,149
3205,21252,19001,9817,9261,4189,3671,2337,1571,1449,929,324,132
3210,21169,18717,9794,9243,4121,3606,2297,1585,1397,915,310,139
3215,21019,18926,9886,9173,4164,3613,2292,1608,1425,887,317,150
3220,21177,18796,9702,9254,4226,3583,2318,1660,1443,966,320,130
3225,21579,18595,9915,9283,4232,3637,2284,1604,1418,927,345,138
3230,21068,18990,9891,9147,4061,3636,2283,1618,1391,920,317,160
3235,21296,18703,9811,9181,4170,3630,2308,1640,1437,966,339,139
3240,21435,18843,9761,9252,4189,3575,2293,1666,1447,915,308,139
3245,21393,18727,9803,9169,4220,3600,2274,1607,1461,931,342,152
3250,21574,18885,9729,9212,4235,3576,2283,1661,1444,951,335,134
3255,21267,18835,9971,9269,4197,3551,2315,1589,1416,901,327,138
3260,21181,18724,9994,9174,4154,3646,2309,1579,1395,897,317,138
3265,21263,18944,10035,9269,4141,3561,2284,1624,1454,959,336,141
3270,21177,18738,9868,9150,4225,3564,2361,1605,1406,892,316,141
3275,21219,18890,9900,9267,4219,3588,2282,1646,1441,938,328,142
3280,21374,19054,9784,9278,4225,3609,2340,1666,1418,929,297,139
3285,20996,18663,9861,9161,4211,3675,2335,1648,1425,969,316,138
3290,21204,18688,9866,9079,4049,3565,2276,1652,1449,964,311,142
3295,21098,18959,9804,9109,4205,3614,2287,1646,1473,934,307,122
3300,21258,18916,9735,9079,4152,3620,2304,1616,1453,942,349,146
3305,21189,18841,9831,9199,4082,3555,2273,1619,1423,925,323,136
3310,21181,18864,9872,9305,4161,3586,2295,1607,1402,956,329,110
3315,20987,18935,9801,9138,4124,3579,2290,1599,1397,916,325,150
3320,20951,18592,9857,9162,4128,3609,2298,1615,1462,950,311,147
3325,21346,18947,9793,9118,4097,3725,2244,1647,1410,898,331,144
3330,21276,18730,9801,9156,4217,3545,2338,1640,1452,912,316,150
3335,21188,18914,9798,9107,4159,3621,2193,1637,1413,916,333,126
3340,21151,18890,9763,9170,4184,3639,2310,1586,1490,934,300,143
3345,20920,18730,9853,9139,4190,3557,2257,1643,1388,969,337,144
3350,21035,18701,9975,9031,4152,3619,2318,1624,1466,904,312,129
3355,21076,18627,9909,9171,4162,3618,2317,1578,1419,923,310,150
3360,20996,18685,9827,9226,4142,3562,2355,1680,1418,952,328,142
3365,21008,18736,9613,9144,4128,3571,2290,1588,1431,944,321,130
3370,21057,18542,9785,9096,4191,3634,2235,1583,1457,940,306,148
3375,20938,18761,9743,9181,4225,3582,2291,1589,1376,923,328,128
3380,20890,18810,9915,9120,4203,3652,2286,1596,1419,893,317,121
3385,20965,18644,9816,9289,4206,3609,2260,1656,1431,945,326,149
3390,21045,18771,9876,9201,4151,3590,2227,1569,1443,917,322,131
3395,21379,18713,9805,9256,4085,3609,2332,1623,1392,898,334,128
3400,20957,18765,9824,9189,4222,3552,2268,1540,1452,936,327,149
3405,21066,18867,9727,9008,4227,3514,2271,1685,1441,913,310,139
3410,20719,18772,9711,9028,4153,3594,2249,1600,1423,955,310,137
3415,21076,18671,9632,9117,4134,3655,2262,1631,1467,917,327,143
3420,20895,18825,9721,9038,4239,3598,2306,1635,1407,908,321,119
3425,20840,18748,9725,9131,4152,3512,2267,1673,1435,945,305,130
3430,21047,18982,9626,9102,4174,3585,2294,1607,1408,918,328,129
3435,20895,18543,9727,9080,4123,3581,2249,1622,1393,962,315,134
3440,21085,18623,9690,9122,4074,3595,2300,1610,1393,924,339,150
3445,21023,18497,9706,9114,4166,3617,2302,1590,1438,938,316,154
3450,20912,18528,9669,9268,4132,3679,2257,1638,1388,908,328,146
3455,21042,18572,9733,9162,4170,3572,2208,1614,1447,932,324,145
3460,21028,18534,9750,9140,4165,3541,2296,1600,1416,927,323,115
3465,21023,18620,9729,9291,4175,3595,2310,1588,1405,906,321,140
3470,21006,18407,9695,9353,4159,3598,2315,1611,1389,950,322,151
3475,20963,18636,9712,9081,4140,3589,2310,1682,1439,897,316,158
3480,20896,18464,9745,8970,4128,3508,2271,1630,1381,949,297,140
3485,21004,18622,9710,9040,4041,3533,2257,1624,1426,942,336,135
3490,21061,18617,9754,9067,4089,3584,2244,1550,1435,899,314,146
3495,20781,18605,9709,9031,4084,3553,2251,1617,1412,929,298,150
3500,20765,18695,9636,9190,4188,3567,2282,1634,1423,912,297,138
3505,20855,18553,9769,9098,4156,3563,2309,1628,1394,936,323,135
3510,20742,18536,9823,9150,4108,3586,2240,1600,1474,951,314,129
3515,20786,18488,9544,9143,4040,3587,2268,1686,1423,941,313,158
3520,20790,18575,9514,9123,4157,3579,2349,1578,1414,934,309,140
3525,20851,18441,9759,9048,4168,3632,2284,1646,1407,947,302,136
3530,20981,18676,9599,9000,4139,3558,2317,1594,1352,897,328,138
3535,21142,18616,9636,8996,4099,3573,2309,1649,1423,898,321,129
3540,21019,18572,9590,9138,4173,3540,2272,1589,1414,926,277,136
3545,20742,18633,9714,9159,4112,3555,2223,1594,1383,956,312,144
3550,20932,18547,9590,9040,4070,3536,2295,1621,1340,912,322,133
3555,20585,18545,9638,8964,4113,3544,2296,1606,1352,937,293,134
3560,20699,18339,9676,8917,4107,3659,2290,1569,1429,901,326,142
3565,20612,18517,9669,8982,4073,3507,2276,1612,1402,931,294,154
3570,20941,18545,9796,9047,4102,3577,2258,1635,1396,937,332,129
3575,20881,18366,9561,8889,4035,3480,2270,1604,1355,938,318,138
3580,20563,18474,9670,8988,4097,3492,2290,1575,1426,944,294,146
3585,20834,18479,9653,9087,4080,3464,2289,1607,1431,928,320,137
3590,20777,18558,9618,8976,4133,3477,2230,1607,1466,899,339,146
3595,20637,18223,9542,9013,4181,3544,2304,1577,1447,920,303,130
3600,20653,18345,9700,9116,4072,3648,2284,1576,1393,906,301,124
